City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Rikitea,PF,-23.1203,-134.9692,74.7,80,8,14.29,clear sky
1,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,86,75,5.75,broken clouds
2,Sauda,NO,59.6506,6.3542,32.68,72,2,5.91,clear sky
3,Jamestown,US,42.097,-79.2353,36.99,76,100,10.36,overcast clouds
4,Albany,US,42.6001,-73.9662,38.88,61,26,1.99,scattered clouds
5,La Paz,BO,-16.5,-68.15,46.38,75,20,9.22,few clouds
6,Chokurdakh,RU,70.6333,147.9167,-24.65,99,60,9.86,broken clouds
7,Nikolskoye,RU,59.7035,30.7861,22.91,87,100,8.39,overcast clouds
8,Clyde River,CA,70.4692,-68.5914,-15.47,80,1,4.5,clear sky
9,Kruisfontein,ZA,-34.0033,24.7314,60.89,77,100,2.44,overcast clouds
10,Chuy,UY,-33.6971,-53.4616,65.14,96,86,3.4,overcast clouds
11,Bulawayo,ZW,-20.15,28.5833,68.36,58,4,6.85,clear sky
12,Quelimane,MZ,-17.8786,36.8883,73.35,88,20,3.44,few clouds
13,Belmonte,BR,-15.8631,-38.8828,73.29,90,99,6.26,overcast clouds
14,Nesterov,RU,54.6306,22.5714,28.65,93,100,9.1,overcast clouds
15,Nizhneudinsk,RU,54.9076,99.0276,10.26,73,98,1.45,overcast clouds
16,Lagoa,PT,39.05,-27.9833,59.65,72,15,29.64,few clouds
17,Sitka,US,57.0531,-135.33,30.09,80,0,6.91,clear sky
18,Saint-Philippe,RE,-21.3585,55.7679,78.39,82,91,7.38,overcast clouds
19,Awjilah,LY,29.1081,21.2869,56.08,65,50,7.85,scattered clouds
20,Mount Gambier,AU,-37.8333,140.7667,85.57,23,100,10.87,overcast clouds
21,Xuddur,SO,4.1213,43.8894,71.28,80,6,15.79,clear sky
22,Vagay,RU,57.9375,69.0217,9.72,95,100,5.68,light snow
23,Longyearbyen,SJ,78.2186,15.6401,28.24,74,75,12.66,broken clouds
24,Tuktoyaktuk,CA,69.4541,-133.0374,8.6,85,100,27.63,light snow
25,Umm Kaddadah,SD,13.6017,26.6876,64.87,33,3,15.23,clear sky
26,Port Shepstone,ZA,-30.7414,30.455,67.17,81,100,3.8,overcast clouds
27,New Norfolk,AU,-42.7826,147.0587,66.7,35,100,4.88,light rain
28,Kahului,US,20.8947,-156.47,76.96,81,40,26.46,scattered clouds
29,Kodiak,US,57.79,-152.4072,26.11,80,0,5.75,clear sky
30,Samarai,PG,-10.6167,150.6667,84.63,70,86,14.65,overcast clouds
31,Soanierana Ivongo,MG,-16.9167,49.5833,78.82,83,50,0.58,light rain
32,Kapaa,US,22.0752,-159.319,80.58,76,40,10.36,scattered clouds
33,Fairbanks,US,64.8378,-147.7164,28.36,94,100,0.0,mist
34,Tuy Hoa,VN,13.0833,109.3,79.16,86,92,12.19,moderate rain
35,Mataura,NZ,-46.1927,168.8643,58.51,65,100,8.9,overcast clouds
36,Ponta Do Sol,PT,32.6667,-17.1,62.71,79,55,11.21,moderate rain
37,Mecca,SA,21.4267,39.8261,74.77,76,82,3.31,broken clouds
38,Klaksvik,FO,62.2266,-6.589,41.92,93,100,5.21,overcast clouds
39,Vaini,TO,-21.2,-175.2,84.36,84,75,9.22,broken clouds
40,Carnarvon,AU,-24.8667,113.6333,76.44,62,7,12.77,clear sky
41,Thompson,CA,55.7435,-97.8558,-29.04,68,20,0.0,few clouds
42,Palana,RU,59.1167,159.9667,8.19,80,81,12.26,broken clouds
43,Yulara,AU,-25.2406,130.9889,99.91,9,0,11.12,clear sky
44,Bredasdorp,ZA,-34.5322,20.0403,54.99,70,8,1.07,clear sky
45,Hermanus,ZA,-34.4187,19.2345,57.58,69,30,4.25,scattered clouds
46,Port Elizabeth,ZA,-33.918,25.5701,63.32,86,100,4.61,overcast clouds
47,Guapi,CO,2.5708,-77.8854,72.41,95,60,4.5,light rain
48,Manakara,MG,-22.1333,48.0167,74.1,90,95,2.06,overcast clouds
49,Khatanga,RU,71.9667,102.5,7.84,80,100,22.66,snow
50,Marquette,US,46.5333,-87.6335,11.77,64,55,10.07,broken clouds
51,Saldanha,ZA,-33.0117,17.9442,55.45,75,32,18.54,scattered clouds
52,Kavieng,PG,-2.5744,150.7967,81.34,77,100,6.46,overcast clouds
53,Ushuaia,AR,-54.8,-68.3,38.86,87,100,8.05,light rain
54,Tasiilaq,GL,65.6145,-37.6368,33.96,96,100,10.4,light snow
55,Dikson,RU,73.5069,80.5464,28.92,97,100,22.93,snow
56,Mahebourg,MU,-20.4081,57.7,79.25,78,40,6.91,scattered clouds
57,Massaguet,TD,12.4755,15.4365,79.56,19,71,16.49,broken clouds
58,Jimeta,NG,9.2833,12.4667,74.62,32,20,0.16,few clouds
59,Punta Arenas,CL,-53.15,-70.9167,42.91,70,40,17.27,scattered clouds
60,Saint George,US,37.1041,-113.5841,52.39,50,0,4.0,clear sky
61,Castro,BR,-24.7911,-50.0119,63.52,96,100,3.15,light rain
62,Lebu,CL,-37.6167,-73.65,54.21,91,5,9.86,clear sky
63,Tomigusuku,JP,26.185,127.675,81.14,80,20,6.91,few clouds
64,Mateus Leme,BR,-19.9864,-44.4278,64.72,94,100,5.32,overcast clouds
65,Broome,US,42.2506,-75.833,36.68,64,100,17.27,overcast clouds
66,Yumen,CN,40.2833,97.2,19.38,73,66,4.59,broken clouds
67,Airai,TL,-8.9266,125.4092,78.96,38,89,1.41,overcast clouds
68,Mehamn,NO,71.0357,27.8492,22.95,80,37,10.36,scattered clouds
69,Nemuro,JP,43.3236,145.575,35.71,58,59,19.84,broken clouds
70,Butaritari,KI,3.0707,172.7902,81.16,78,37,12.26,light rain
71,Mar Del Plata,AR,-38.0023,-57.5575,60.82,94,0,8.05,clear sky
72,Hobart,AU,-42.8794,147.3294,67.05,70,75,10.36,light rain
73,Saskylakh,RU,71.9167,114.0833,14.38,88,100,26.28,overcast clouds
74,Kenai,US,60.5544,-151.2583,17.69,86,0,4.61,clear sky
75,Cape Town,ZA,-33.9258,18.4232,60.91,71,20,11.5,few clouds
